,state,sat_par_avg,act_par_avg,sat_total_avg,act_compo_avg,income_avg,num_sch
0,Alabama,5.5,100.0,1165.5,19.15,41870.0,37
1,Alaska,40.5,49.0,1093.0,20.3,58874.5,6
2,Arizona,29.5,64.0,1132.5,19.45,43593.5,36
3,Arkansas,4.0,100.0,1188.5,19.4,42491.0,26
4,California,56.5,29.0,1065.5,22.75,62134.5,259
5,Colorado,55.5,65.0,1113.0,22.35,57250.0,45
6,Connecticut,100.0,28.5,1047.0,25.4,73297.5,29
7,Delaware,100.0,17.5,997.0,23.65,51864.0,7
8,District of Columbia,96.0,32.0,963.5,23.9,80232.0,17
9,Florida,69.5,69.5,1058.0,19.85,49734.0,130
10,Georgia,65.5,54.0,1057.0,21.4,45925.5,69
11,Hawaii,55.5,89.5,1047.5,18.95,54323.5,11
12,Idaho,96.5,37.0,1003.0,22.3,43411.0,10
13,Illinois,54.0,68.0,1067.0,22.65,55698.5,100
14,Indiana,63.0,33.5,1074.0,22.55,46282.5,61
15,Iowa,2.5,67.5,1270.0,21.85,48918.5,44
16,Kansas,4.0,72.0,1262.5,21.65,50072.0,37
17,Kentucky,4.0,100.0,1247.5,20.1,41621.0,38
18,Louisiana,4.0,100.0,1204.0,19.35,45069.5,30
19,Maine,97.0,7.5,1012.5,24.15,47678.5,22
20,Maryland,72.5,29.5,1070.0,23.05,61733.0,35
21,Massachusetts,78.0,27.0,1116.0,25.45,70121.5,91
22,Michigan,100.0,25.5,1008.0,24.25,46862.5,65
23,Minnesota,3.5,99.5,1296.5,21.4,56165.5,53
24,Mississippi,2.5,100.0,1239.0,18.6,37194.0,18
25,Missouri,3.5,100.0,1266.5,20.2,46225.5,75
26,Montana,10.0,100.0,1197.0,20.15,47196.5,11
27,Nebraska,3.0,92.0,1252.5,20.75,51767.5,27
28,Nevada,24.5,100.0,1128.0,17.75,48825.0,17
29,New Hampshire,96.0,17.0,1057.5,25.3,60115.0,17
30,New Jersey,76.0,32.5,1075.0,23.799999999999997,66414.0,59
31,New Mexico,13.5,66.5,1115.5,19.549999999999997,40708.5,17
32,New York,73.0,29.0,1060.0,24.35,67235.5,231
33,North Carolina,50.5,100.0,1089.5,19.1,45312.5,73
34,North Dakota,2.0,98.0,1269.5,20.3,54262.0,15
35,Ohio,15.0,87.5,1124.0,21.15,47788.0,115
36,Oklahoma,7.5,100.0,1054.5,19.35,44818.5,32
37,Oregon,45.5,41.0,1112.5,21.55,50131.0,35
38,Pennsylvania,67.5,21.5,1078.5,23.6,54669.0,156
39,Rhode Island,84.0,18.0,1040.0,24.1,53537.5,12
40,South Carolina,52.5,100.0,1067.0,18.5,43069.5,39
41,South Dakota,3.0,78.5,1228.0,21.85,51210.0,17
42,Tennessee,5.5,100.0,1229.5,19.700000000000003,46221.5,63
43,Texas,64.0,43.0,1026.0,20.65,49765.0,143
44,Utah,3.5,100.0,1124.0,20.35,45593.0,27
45,Vermont,62.0,26.5,1117.0,23.85,52614.0,21
46,Virginia,66.5,26.5,1109.5,23.85,56797.5,75
47,Washington,66.5,26.5,1078.0,22.049999999999997,60323.0,62
48,West Virginia,21.0,67.0,1042.5,20.35,40059.5,27
49,Wisconsin,3.0,100.0,1292.5,20.5,50446.0,56
50,Wyoming,3.0,100.0,1243.5,20.1,58606.5,1
